Date,Open
2015-06-06,224.4
2015-06-05,222.99
2015-06-04,224.8
2015-06-03,225.17
2015-06-02,223.5
2015-06-01,228.91
2015-05-31,232.11
2015-05-30,236.03
2015-05-29,236.46
2015-05-28,235.32
2015-05-27,235.71
2015-05-26,235.72
2015-05-25,239.69
2015-05-24,237.87
2015-05-23,238.8
2015-05-22,235
2015-05-21,234.4
2015-05-20,231.4
2015-05-19,233.03
2015-05-18,235.69
2015-05-17,235.43
2015-05-16,237.39
2015-05-15,237.12
2015-05-14,235.97
2015-05-13,241.03
2015-05-12,241.3
2015-05-11,239.13
2015-05-10,241.83
2015-05-09,243.22
2015-05-08,236.92
2015-05-07,228.34
2015-05-06,235.18
2015-05-05,238.22
2015-05-04,239.73
2015-05-03,233.83
2015-05-02,231.05
2015-05-01,236.47
2015-04-30,225.5
2015-04-29,225.18
2015-04-28,227.17
2015-04-27,219.52
2015-04-26,226.12
2015-04-25,231.04
2015-04-24,235.61
2015-04-23,233.25
2015-04-22,235.71
2015-04-21,224.3
2015-04-20,222.54
2015-04-19,223.35
2015-04-18,222.6
2015-04-17,227.36
2015-04-16,222.83
2015-04-15,215.78
2015-04-14,222.97
2015-04-13,236.42
2015-04-12,236.09
2015-04-11,235.99
2015-04-10,243.75
2015-04-09,244.84
2015-04-08,253.71
2015-04-07,255.54
2015-04-06,260.57
2015-04-05,253.6
2015-04-04,254.19
2015-04-03,253.22
2015-04-02,246.68
2015-04-01,243.93
2015-03-31,247.95
2015-03-30,242.41
2015-03-29,252.91
2015-03-28,247.93
2015-03-27,249.23
2015-03-26,246.99
2015-03-25,245.29
2015-03-24,265.98
2015-03-23,268.28
2015-03-22,260
2015-03-21,261.92
2015-03-20,261.97
2015-03-19,256.59
2015-03-18,282.8
2015-03-17,289.27
2015-03-16,286.79
2015-03-15,282.36
2015-03-14,283.25
2015-03-13,295.66
2015-03-12,296.29
2015-03-11,290
2015-03-10,287.12
2015-03-09,275
2015-03-08,276.71
2015-03-07,272.61
2015-03-06,273.46
2015-03-05,270.72
2015-03-04,281.03
2015-03-03,275.95
2015-03-02,257.95
2015-03-01,253.45
2015-02-28,252.29
2015-02-27,236.83
2015-02-26,237.99
2015-02-25,239.53
2015-02-24,239.63
2015-02-23,236.46
2015-02-22,245.84
2015-02-21,245
2015-02-20,240.61
2015-02-19,237.37
